GENE	synRVIS	synRVIS.centile	synRVIS_RSCU	synRVIS_RSCU.centile	synGERP	synGERP.centile
HNRNPLL	-0.67	0.16	-0.72	0.14	0.98	0.09
HNRNPM	-0.84	0.1	0.14	0.67	1.06	0.08
HNRNPR	0.5	0.75	-0.79	0.11	2.58	0.01
HNRNPU	0.14	0.69	-1.19	0.04	0.89	0.1
HNRNPUL1	-0.94	0.07	0.02	0.65	-0.33	0.37
HNRNPUL2	0.22	0.7	-0.06	0.64	0.99	0.09
HOGA1	-0.47	0.3	0.53	0.77	0.09	0.24
HOMER1	-0.43	0.34	-0.47	0.31	1.72	0.03
HOMER2	0.76	0.82	1.57	0.94	-1.8	0.85
HOMER3	2.21	0.97	1.8	0.95	-2.77	0.97
HOMEZ	0.47	0.74	0.21	0.68	0.87	0.1
HOOK1	-0.63	0.18	-0.69	0.15	-0.18	0.32
HOOK2	0.44	0.74	0.19	0.68	-1.88	0.87
HOOK3	-0.64	0.17	-0.69	0.15	0.13	0.23
HOPX	1.13	0.91	0.92	0.88	0.17	0.22
HORMAD1	-0.32	0.46	-0.34	0.42	1.84	0.03
HORMAD2	-0.28	0.5	-0.31	0.46	0.66	0.13
HOXA1	-0.43	0.34	-0.47	0.3	1.13	0.08
HOXA10	0.91	0.87	0.69	0.83	0.78	0.12
HOXA11	-0.4	0.37	-0.44	0.33	2.76	0.01
HOXA13	-0.4	0.37	-0.44	0.33	0.72	0.12
HOXA2	-0.52	0.26	-0.57	0.23	2.67	0.01
HOXA3	-0.51	0.27	-0.55	0.24	-0.36	0.38
HOXA4	-0.24	0.55	-0.27	0.5	0.78	0.11
HOXA5	-0.39	0.39	-0.42	0.35	3.49	0
HOXA6	-0.32	0.46	0.7	0.83	2.92	0
HOXA7	0.87	0.86	-0.39	0.37	1.54	0.04
HOXA9	0.94	0.88	-0.32	0.44	1.89	0.03
HOXB1	-0.43	0.34	0.58	0.79	-0.9	0.58
HOXB13	-0.49	0.28	-0.54	0.25	-0.87	0.57
HOXB2	0.76	0.82	0.52	0.77	0.17	0.22
HOXB3	-0.54	0.24	-0.59	0.21	0.78	0.11
HOXB4	-0.28	0.5	-0.31	0.46	1.25	0.06
HOXB5	-0.36	0.42	-0.39	0.38	2.67	0.01
HOXB6	-0.27	0.51	0.75	0.84	0.93	0.1
HOXB7	-0.18	0.61	-0.2	0.57	1.25	0.06
HOXB8	-0.34	0.44	-0.37	0.4	1.19	0.07
HOXB9	1.05	0.9	0.84	0.87	1.96	0.02
HOXC10	0.73	0.81	1.54	0.93	2.2	0.02
HOXC11	-0.32	0.46	-0.35	0.41	1.42	0.05
HOXC12	-0.33	0.45	-0.36	0.41	0.53	0.15
HOXC13	-0.28	0.51	-0.3	0.46	0.77	0.12
HOXC5	-0.3	0.48	-0.33	0.44	3.65	0
HOXC6	-0.36	0.41	0.65	0.82	3.61	0
HOXC8	-0.41	0.36	-0.44	0.33	2.47	0.01
HOXC9	0.92	0.87	-0.34	0.42	2.14	0.02
HOXD1	-0.34	0.44	-0.37	0.4	-0.63	0.48
HOXD10	0.76	0.82	-0.52	0.26	4.21	0
HOXD11	-0.28	0.51	-0.3	0.46	0.68	0.13
HOXD12	0.95	0.88	0.74	0.84	0.2	0.22
HOXD13	-0.39	0.39	-0.42	0.35	-0.39	0.39
HOXD3	0.67	0.79	-0.62	0.19	0.77	0.12
HOXD4	-0.42	0.35	-0.46	0.32	0.01	0.27
HOXD8	0.91	0.87	0.69	0.83	1.64	0.04
HOXD9	-0.24	0.55	-0.27	0.5	1.31	0.06
HP	-0.46	0.31	-0.5	0.28	-1.46	0.77
HP1BP3	1.71	0.94	-0.83	0.1	1.7	0.03
HPCA	-0.28	0.51	-0.3	0.46	0.77	0.12
HPCAL1	-0.36	0.41	-0.39	0.37	0.49	0.16
HPCAL4	-0.21	0.58	1.86	0.96	1.28	0.06
HPD	-0.55	0.24	-0.59	0.21	-1.45	0.77
HPDL	-0.41	0.36	-0.44	0.33	-1.65	0.82
HPGD	0.98	0.89	-0.28	0.49	-0.94	0.6
HPGDS	-0.27	0.51	-0.29	0.47	-1.04	0.63
HPN	0.79	0.83	0.56	0.78	-1.47	0.77
HPR	-0.44	0.33	0.56	0.78	-0.81	0.55
HPRT1	-0.17	0.62	-0.19	0.58	1.24	0.07
HPS1	0.31	0.71	0.04	0.65	-0.98	0.61
HPS3	0.15	0.69	-0.13	0.61	-1.5	0.78
HPS4	-1.15	0.04	-0.2	0.57	-2.22	0.92
HPS5	-1.3	0.03	-1.41	0.02	0.46	0.17
HPS6	0.21	0.7	-0.07	0.64	-0.68	0.5
HPSE	-0.49	0.29	-0.53	0.25	-0.25	0.34
HPSE2	-0.73	0.13	-0.79	0.12	2.23	0.01
HPX	0.58	0.77	0.34	0.71	0.06	0.25
HR	0.01	0.68	0.76	0.85	-0.69	0.5
HRAS	-0.47	0.3	-0.52	0.27	-1.5	0.78
HRASLS	0.98	0.89	0.76	0.85	-0.8	0.55
HRASLS2	-0.27	0.51	-0.29	0.47	-1.73	0.84
HRASLS5	-0.3	0.49	-0.32	0.44	-1.17	0.68
HRC	-0.79	0.11	0.19	0.68	-0.78	0.54
HRCT1	-0.22	0.57	-0.24	0.52	-0.31	0.36
HRG	-0.65	0.17	-0.71	0.15	-1.39	0.74
HRH1	-0.7	0.14	-0.76	0.13	-1.61	0.81
HRH2	0.62	0.78	0.38	0.72	-0.97	0.61
HRH3	-0.59	0.2	0.4	0.73	-1.53	0.79
HRH4	-0.57	0.22	-0.62	0.19	-0.99	0.61
HRNR	-0.12	0.65	4.51	1	-4.25	1
HRSP12	-0.14	0.64	-0.16	0.6	-0.84	0.56
HS1BP3	5.6	1	4.59	1	-1.42	0.76
HS2ST1	0.82	0.84	-0.46	0.32	0.58	0.14
HS3ST1	-0.48	0.29	-0.52	0.26	-0.38	0.39
HS3ST2	0.72	0.81	0.49	0.76	-0.56	0.45
HS3ST3A1	-0.3	0.48	-0.33	0.44	0.72	0.12
HS3ST3B1	-0.37	0.41	-0.4	0.37	0.77	0.12
HS3ST4	-0.34	0.43	-0.37	0.39	-0.11	0.3
HS3ST5	0.67	0.79	0.43	0.74	0.03	0.26
HS3ST6	0.96	0.88	0.74	0.84	-1.3	0.72
HS6ST1	-0.54	0.24	-0.59	0.21	0.63	0.14
HS6ST2	-0.34	0.44	-0.37	0.4	1.43	0.05
HS6ST3	-0.43	0.34	-0.47	0.3	0.33	0.19
HSBP1	-0.12	0.65	-0.14	0.61	-0.8	0.55
HSCB	-0.25	0.54	-0.27	0.5	-1.55	0.79
HSD11B1	-0.4	0.37	-0.44	0.33	-0.81	0.55
HSD11B1L	-0.08	0.67	-0.1	0.63	-0.57	0.46
HSD11B2	0.7	0.8	1.5	0.93	-0.46	0.42
HSD17B1	-0.49	0.28	-0.54	0.25	-1.64	0.82
HSD17B10	-0.25	0.54	-0.27	0.5	0.53	0.15
HSD17B11	0.94	0.88	0.72	0.84	-1.25	0.7
HSD17B12	-0.41	0.36	-0.44	0.33	-0.57	0.46
HSD17B13	-0.35	0.43	-0.38	0.39	-1.61	0.81
HSD17B14	0.92	0.87	0.7	0.83	-1.92	0.87
HSD17B2	-0.73	0.13	0.25	0.69	-2.49	0.95
HSD17B3	-0.43	0.34	-0.47	0.31	-1.83	0.86
HSD17B4	1.68	0.93	-0.87	0.09	-0.37	0.39
HSD17B6	-0.41	0.36	-0.44	0.33	-1.01	0.62
HSD17B7	2.04	0.96	-0.47	0.3	-1.41	0.75
HSD17B8	-0.24	0.55	-0.27	0.5	0.67	0.13
HSD3B1	3.13	0.99	1.46	0.92	-1.12	0.66
HSD3B2	0.59	0.77	-0.7	0.15	-1.41	0.75
HSD3B7	0.87	0.86	1.69	0.95	-0.64	0.48
HSDL1	0.61	0.77	-0.68	0.16	-4.01	1
HSDL2	-0.43	0.34	0.58	0.79	0.34	0.19
HSF1	-0.73	0.13	-0.79	0.11	-0.53	0.44
HSF2	-0.67	0.16	-0.72	0.14	1.13	0.08
HSF2BP	-0.47	0.3	0.53	0.77	-1.96	0.88
HSF4	-0.3	0.48	-0.33	0.44	0.51	0.15
HSF5	-0.53	0.25	-0.58	0.22	1.69	0.03
HSP90AA1	0.84	0.85	1.37	0.91	-2.41	0.94
HSP90AB1	0	0.68	-1.34	0.03	-1.64	0.82
HSP90B1	0.38	0.72	-0.93	0.08	-1.47	0.77
HSPA12A	-1.01	0.06	-0.05	0.64	-0.69	0.5
HSPA12B	0.65	0.79	0.41	0.73	-0.89	0.58
HSPA13	-0.54	0.24	-0.59	0.21	-0.52	0.44
HSPA14	-0.61	0.19	-0.67	0.17	0.16	0.23
HSPA1A	-0.27	0.51	-0.29	0.47	0.03	0.26
HSPA1B	-0.37	0.4	0.64	0.81	0.27	0.2
HSPA1L	0.42	0.73	-0.89	0.09	-2.14	0.91
HSPA2	0.23	0.7	2.05	0.96	0.83	0.11
HSPA4	0.32	0.71	-0.99	0.07	0.48	0.16
HSPA4L	0.48	0.74	0.23	0.69	0.47	0.16
HSPA5	-0.92	0.08	-0.99	0.07	0.58	0.14
HSPA6	-0.87	0.09	0.1	0.66	-0.29	0.36
HSPA8	-1.1	0.05	-1.19	0.04	-1.09	0.65
HSPA9	1.76	0.94	1.32	0.91	0.04	0.26
HSPB1	-0.28	0.5	-0.31	0.46	-0.61	0.47
HSPB11	-0.22	0.57	-0.24	0.53	0.05	0.25
HSPB3	-0.29	0.49	0.73	0.84	-1.72	0.83
HSPB6	-0.07	0.68	-0.08	0.64	-1.9	0.87
HSPB7	-0.38	0.39	0.63	0.81	-1.12	0.66
HSPB8	0.91	0.87	0.69	0.83	-1.54	0.79
HSPB9	-0.31	0.47	-0.34	0.43	-0.94	0.6
HSPBAP1	-0.59	0.21	0.41	0.73	-0.5	0.43
HSPBP1	0.89	0.86	0.67	0.82	-1.37	0.74
HSPD1	0.61	0.77	1.41	0.92	-0.15	0.31
HSPE1	-0.22	0.57	-0.24	0.53	-1.4	0.75
HSPG2	0.96	0.88	4.82	1	-1.04	0.63
HSPH1	-1	0.06	1.01	0.88	-1.69	0.83
HTATIP2	-0.34	0.43	-0.37	0.39	-0.51	0.44
HTATSF1	-0.59	0.21	-0.64	0.18	-0.82	0.55
HTN1	-0.11	0.66	-0.12	0.62	-0.43	0.4
HTN3	-0.12	0.65	0.91	0.88	-0.79	0.54
HTR1A	1.79	0.94	1.35	0.91	-0.26	0.35
HTR1B	-0.63	0.18	0.36	0.72	0.45	0.17
HTR1D	-0.61	0.19	-0.66	0.17	-1.13	0.66
HTR1E	0.72	0.81	1.52	0.93	-0.67	0.49
HTR1F	-0.57	0.22	0.42	0.74	-0.26	0.35
HTR2A	0.62	0.78	-0.67	0.16	-0.94	0.6
HTR2B	0.58	0.77	-0.72	0.14	0.26	0.2
HTR2C	-0.36	0.42	-0.39	0.38	-0.65	0.49
HTR3A	0.6	0.77	0.35	0.72	-1.07	0.64
HTR3B	-0.51	0.26	-0.56	0.23	-0.78	0.54
HTR3C	-0.6	0.2	-0.65	0.17	-0.75	0.52
HTR3D	0.87	0.86	1.69	0.95	0.38	0.18
HTR3E	-0.56	0.23	-0.61	0.2	-0.1	0.3
HTR4	0.57	0.76	0.32	0.71	0.23	0.21
HTR5A	-0.47	0.3	0.53	0.77	-0.9	0.58
HTR6	-0.58	0.21	-0.63	0.18	-0.17	0.32
HTR7	-0.63	0.18	-0.68	0.16	-0.41	0.4
HTRA1	0.72	0.81	0.49	0.76	-1.2	0.69
HTRA2	-0.53	0.25	-0.57	0.22	0.13	0.23
HTRA3	-0.51	0.27	-0.55	0.24	-0.74	0.52
HTRA4	-0.39	0.38	-0.43	0.34	-0.61	0.47
HTT	0.82	0.84	-0.28	0.48	-2.75	0.97
HUNK	-0.82	0.1	-0.89	0.09	-0.95	0.6
HUS1	-0.3	0.48	-0.33	0.44	-2.64	0.96
HUS1B	-0.47	0.3	-0.52	0.27	-2.23	0.92
HUWE1	-1.98	0.01	-2.43	0	1.26	0.06
HVCN1	-0.33	0.45	-0.36	0.41	-2.16	0.91
HYAL1	-0.63	0.18	-0.69	0.15	-0.96	0.6
HYAL2	-0.72	0.14	-0.78	0.12	-1.65	0.82
HYAL3	-0.57	0.22	-0.62	0.19	0.38	0.18
HYAL4	-0.51	0.27	-0.55	0.24	-1.28	0.71
HYDIN	0.35	0.72	-0.5	0.28	-1.32	0.72
HYI	-0.3	0.49	0.72	0.84	-0.67	0.49
HYKK	-0.47	0.3	-0.51	0.27	-3.21	0.99
HYLS1	-0.39	0.39	-0.42	0.35	0.27	0.2
HYOU1	3.63	0.99	0.66	0.82	-0.98	0.61
HYPK	-0.26	0.53	-0.28	0.49	0.09	0.24
IAH1	-0.3	0.49	0.72	0.84	-3.18	0.98
IAPP	-0.14	0.64	-0.16	0.6	-1	0.62
IARS	-1.45	0.02	-0.53	0.26	-1.54	0.79
IARS2	-1.08	0.05	-1.17	0.04	-1.91	0.87
IBA57	-0.35	0.43	-0.38	0.39	-2.36	0.94
IBSP	-0.39	0.38	0.61	0.8	-1.75	0.84
IBTK	-1.19	0.04	-1.29	0.03	1.01	0.09
ICA1	-0.57	0.22	-0.62	0.19	-1.2	0.69
ICA1L	-0.45	0.32	-0.49	0.29	0.41	0.18
ICAM1	1.7	0.94	1.25	0.9	-3.08	0.98
ICAM2	-0.32	0.46	-0.34	0.42	-1.71	0.83
ICAM3	0.47	0.74	1.26	0.9	-2.78	0.97
ICAM4	-0.23	0.56	-0.25	0.52	-0.12	0.3
ICAM5	1.5	0.92	1.04	0.88	-2.04	0.9
ICK	-0.84	0.09	0.13	0.67	-1.33	0.73
ICMT	0.87	0.86	0.65	0.82	-0.39	0.39
ICOS	-0.34	0.44	-0.37	0.4	-1.05	0.64
ICOSLG	-0.46	0.31	-0.5	0.28	-2.2	0.92
ICT1	0.94	0.88	0.72	0.84	-1.21	0.69
ID1	-0.34	0.44	-0.37	0.4	-0.01	0.27
ID2	-0.45	0.32	-0.49	0.29	1.33	0.06
ID3	-0.37	0.4	-0.41	0.36	-0.63	0.48
ID4	-0.22	0.57	-0.24	0.53	0.77	0.12
IDE	-1.02	0.06	-1.1	0.05	0.57	0.14
IDH1	-0.49	0.28	-0.54	0.25	-0.65	0.49
IDH2	-0.59	0.2	-0.64	0.18	-1.32	0.72
IDH3A	-0.4	0.37	-0.44	0.33	-2.33	0.93
IDH3B	-0.53	0.25	-0.57	0.22	-0.12	0.3
IDH3G	-0.47	0.3	-0.51	0.27	-0.73	0.52
IDI1	0.84	0.85	0.61	0.8	-1.15	0.67
IDI2	2.05	0.96	1.62	0.94	-3.87	1
IDNK	-0.17	0.62	-0.19	0.58	-0.96	0.61
IDO1	-0.32	0.46	-0.35	0.41	-2.15	0.91
IDS	0.68	0.8	0.44	0.74	-1.02	0.63
IDUA	0.6	0.77	0.36	0.72	-2.09	0.9
IER2	-0.27	0.51	0.75	0.84	-1.04	0.63
IER3	-0.16	0.63	-0.17	0.59	-1.03	0.63
IER3IP1	-0.18	0.61	-0.2	0.56	1.45	0.05
IER5	-0.38	0.39	-0.42	0.35	0.07	0.25
IER5L	-0.16	0.62	-0.18	0.58	1.46	0.05
IFFO1	-0.69	0.15	-0.74	0.13	0.55	0.15
IFFO2	-0.09	0.67	0.94	0.88	0.79	0.11
IFI16	0.46	0.74	0.2	0.68	-1.61	0.81
IFI27	-0.16	0.63	-0.17	0.59	-1.81	0.85
IFI27L1	-0.08	0.67	-0.09	0.63	-1.59	0.8
IFI27L2	-0.24	0.55	-0.26	0.51	-1.91	0.87
IFI30	-0.21	0.58	-0.23	0.54	-2.78	0.97
IFI35	-0.32	0.46	-0.34	0.42	-1.59	0.8
IFI44	-0.66	0.16	-0.72	0.14	-0.81	0.55
IFI44L	-0.52	0.26	-0.57	0.23	-0.67	0.5
IFI6	-0.13	0.65	-0.15	0.61	-1.53	0.79
IFIH1	-1.2	0.04	-1.29	0.03	-0.46	0.42
IFIT1	1.87	0.95	0.39	0.73	-1.41	0.75
IFIT1B	0.65	0.79	-0.64	0.18	-1.36	0.74
IFIT2	-0.69	0.15	-0.75	0.13	-1.73	0.83
IFIT3	1.85	0.95	1.41	0.92	-1.87	0.86
IFIT5	0.74	0.81	-0.54	0.24	-1.25	0.7
IFITM1	-0.32	0.46	-0.34	0.42	-1.18	0.68
IFITM2	-0.29	0.49	-0.32	0.45	-0.82	0.55
IFITM3	-0.25	0.54	-0.27	0.5	-2.17	0.91
IFITM5	-0.22	0.57	-0.24	0.52	-1.86	0.86
IFLTD1	0.78	0.83	0.54	0.78	-1.16	0.67
IFNA1	-0.24	0.55	-0.26	0.51	-0.97	0.61
IFNA10	-0.41	0.36	-0.44	0.33	-1.39	0.75
IFNA13	-0.24	0.55	-0.27	0.5	-0.65	0.49
IFNA14	-0.39	0.39	-0.42	0.35	-0.56	0.45
IFNA16	-0.42	0.35	-0.46	0.32	-0.76	0.53
IFNA17	2.09	0.96	1.67	0.95	-0.87	0.57
IFNA2	-0.3	0.49	-0.32	0.44	-0.16	0.31
IFNA21	-0.39	0.38	-0.43	0.34	-0.54	0.45
IFNA4	-0.33	0.45	-0.36	0.41	-0.35	0.38
IFNA5	0.95	0.88	-0.32	0.45	-1.42	0.75
IFNA6	2.1	0.96	1.68	0.95	-0.27	0.35
IFNA7	-0.36	0.41	-0.39	0.37	-1.09	0.65
IFNA8	-0.26	0.52	-0.29	0.48	0.09	0.24
IFNAR1	-0.61	0.19	0.38	0.72	-2.38	0.94
IFNAR2	-0.71	0.14	-0.77	0.12	-3	0.98
IFNB1	0.9	0.87	0.68	0.82	-1.52	0.78
IFNE	-0.33	0.45	-0.36	0.41	-0.62	0.48
IFNG	-0.2	0.59	-0.22	0.54	-1.56	0.79
IFNGR1	0.68	0.8	0.44	0.74	-2.09	0.9
IFNGR2	-0.44	0.33	-0.48	0.3	-2.65	0.96
IFNK	0.97	0.88	-0.29	0.48	0.06	0.25
IFNL1	-0.41	0.36	-0.44	0.33	-1.82	0.85
IFNL2	-0.26	0.53	-0.28	0.49	-0.48	0.42
IFNL3	-0.34	0.43	-0.37	0.39	-0.91	0.59
IFNLR1	0.68	0.8	0.44	0.74	-1.43	0.76
IFNW1	-0.36	0.42	-0.39	0.38	-1.08	0.65
IFRD1	0.71	0.81	1.52	0.93	-0.87	0.57
IFRD2	-0.54	0.24	0.46	0.75	-0.47	0.42
IFT122	-1.51	0.02	-1.63	0.01	-0.5	0.43
IFT140	-1.92	0.01	0.02	0.65	-2.53	0.95
IFT172	-0.78	0.11	-1.13	0.05	-0.17	0.32
IFT20	-0.13	0.65	-0.15	0.61	1.27	0.06
IFT27	-0.24	0.55	-0.26	0.51	-0.8	0.55
IFT43	-0.37	0.4	-0.41	0.36	-0.77	0.53
IFT46	-0.39	0.38	-0.43	0.34	-1	0.62
IFT52	0.71	0.81	0.47	0.75	0.07	0.25
IFT57	-0.51	0.27	0.49	0.76	0.26	0.2
IFT74	-0.51	0.26	0.49	0.76	1.31	0.06
IFT80	-0.82	0.1	-0.89	0.08	-0.07	0.29
IFT81	-0.54	0.24	-0.59	0.21	0.21	0.21
IFT88	-0.61	0.19	0.38	0.72	-0.1	0.3
IGBP1	-0.36	0.41	-0.39	0.37	0.66	0.13
IGDCC3	-1.07	0.05	-1.16	0.04	-1.13	0.66
IGDCC4	-1.29	0.03	-1.4	0.02	-1.03	0.63
IGF1	-0.36	0.41	-0.39	0.37	0.91	0.1
IGF1R	2.8	0.98	2.9	0.99	-1.55	0.79
IGF2	0.8	0.84	0.57	0.79	0.43	0.17
IGF2BP1	-0.71	0.14	-0.77	0.12	-1.51	0.78
IGF2BP2	-0.72	0.14	-0.78	0.12	0.66	0.13
IGF2BP3	1.77	0.94	0.29	0.7	0.01	0.27
IGF2R	-1.06	0.05	-0.69	0.16	-3.52	0.99
IGFALS	0.72	0.81	0.48	0.76	-1.74	0.84
IGFBP1	0.97	0.88	0.76	0.85	-2.8	0.97
IGFBP2	-0.26	0.52	-0.29	0.48	0.5	0.16
IGFBP3	-0.26	0.52	-0.29	0.48	-1.07	0.64
IGFBP4	-0.2	0.59	-0.22	0.54	1.06	0.08
IGFBP5	-0.23	0.56	0.79	0.86	0.25	0.21
IGFBP6	-0.28	0.51	-0.3	0.46	-0.39	0.39
IGFBP7	-0.18	0.61	0.85	0.87	0.59	0.14
IGFBPL1	-0.2	0.59	-0.22	0.54	-0.85	0.56
IGFL1	-0.17	0.62	-0.19	0.58	-0.45	0.41
IGFL2	-0.2	0.59	-0.22	0.55	-2.05	0.9
IGFL3	-0.25	0.54	-0.27	0.5	-0.64	0.48
IGFL4	-0.19	0.6	-0.21	0.56	-1.43	0.76
IGFLR1	-0.52	0.26	-0.57	0.23	-1.97	0.88
IGFN1	1.21	0.91	1.77	0.95	-1.27	0.71
IGHMBP2	2.31	0.97	2.66	0.98	-2.11	0.91
IGIP	-0.1	0.67	-0.12	0.62	5.12	0
IGJ	-0.18	0.61	-0.2	0.57	-0.72	0.51
IGLL1	2.16	0.97	1.74	0.95	-0.66	0.49
IGLL5	-0.3	0.48	-0.33	0.44	-1.69	0.83
IGLON5	-0.36	0.41	-0.39	0.37	0.14	0.23
IGSF1	2.48	0.97	1.8	0.95	0.81	0.11
IGSF10	-0.53	0.24	3.02	0.99	-2.04	0.9
IGSF11	-0.63	0.18	0.36	0.72	0.08	0.24
IGSF21	-0.75	0.12	-0.82	0.11	-0.35	0.38
IGSF22	2.62	0.98	1.95	0.96	-0.63	0.48
IGSF3	-0.52	0.26	0.19	0.68	-1.21	0.69
IGSF5	0.8	0.84	0.57	0.79	-2.1	0.9
IGSF6	-0.34	0.43	-0.37	0.39	-2.19	0.92
IGSF8	0.37	0.72	1.14	0.89	-0.72	0.51
IGSF9	1.31	0.91	0.83	0.86	-0.37	0.38
IGSF9B	2.07	0.96	2.4	0.97	-0.03	0.28
IHH	-0.57	0.22	-0.62	0.19	-0.01	0.27
IK	-0.45	0.32	-0.49	0.28	-0.03	0.28
IKBIP	-0.42	0.35	0.59	0.79	-0.59	0.46
IKBKAP	4.61	1	1.43	0.92	-0.03	0.28
IKBKB	-0.69	0.15	-0.75	0.13	-1.6	0.81
IKBKE	1.63	0.93	1.17	0.89	-0.59	0.47
IKBKG	-0.13	0.65	-0.15	0.61	-0.96	0.6
IKZF1	1.9	0.95	1.47	0.92	-0.49	0.43
IKZF2	0.5	0.75	0.25	0.69	3.54	0
IKZF3	-0.67	0.16	-0.72	0.14	0.51	0.16
IKZF4	-0.63	0.18	-0.68	0.16	1.51	0.04
IKZF5	-0.49	0.28	-0.54	0.25	-0.99	0.61
IL10	-0.21	0.58	-0.23	0.54	0.01	0.26
IL10RA	-0.81	0.1	-0.88	0.09	-1.31	0.72
IL10RB	-0.41	0.36	-0.44	0.33	-2.35	0.93
IL11	-0.13	0.65	-0.15	0.61	-1.95	0.88
IL11RA	-0.5	0.28	-0.54	0.24	-0.11	0.3
IL12A	-0.32	0.46	-0.34	0.42	-1.27	0.71
IL12B	-0.45	0.32	-0.49	0.29	-0.74	0.52
IL12RB1	-0.95	0.07	-1.03	0.06	-2.5	0.95
IL12RB2	0.18	0.7	-1.14	0.05	-1.16	0.67
IL13	-0.21	0.58	-0.23	0.54	-1.46	0.77
IL13RA1	0.95	0.88	0.73	0.84	-0.07	0.29
IL13RA2	-0.28	0.5	-0.31	0.46	0.65	0.13
IL15	-0.2	0.59	-0.22	0.55	-1.98	0.89
IL15RA	2.12	0.97	0.66	0.82	-0.9	0.58
IL16	-0.67	0.16	1.08	0.89	-2.89	0.97
IL17A	-0.29	0.49	-0.32	0.45	-0.34	0.37
IL17B	0.94	0.88	-0.32	0.44	-0.23	0.34
IL17C	-0.41	0.36	0.6	0.8	-2.12	0.91
IL17D	-0.19	0.6	-0.21	0.56	-0.49	0.43
IL17F	-0.36	0.42	-0.39	0.38	-0.82	0.55
IL17RA	6.46	1	5.22	1	-2.56	0.95
IL17RB	0.68	0.8	0.44	0.74	-1.39	0.75
IL17RC	4	0.99	2.11	0.96	-0.65	0.49
IL17RD	-0.9	0.08	-0.98	0.07	-1.63	0.81
IL17RE	-0.36	0.42	-0.39	0.38	-0.29	0.36
IL17REL	-0.43	0.34	-0.47	0.3	-1.08	0.65
IL18	1.05	0.9	-0.2	0.56	0.28	0.2
IL18BP	-0.32	0.46	-0.35	0.41	0.09	0.24
IL18R1	0.61	0.77	-0.68	0.16	-1.72	0.83
IL18RAP	0.46	0.74	-0.84	0.1	-1.97	0.88
IL19	-0.23	0.56	-0.25	0.52	-0.65	0.49
IL1A	-0.32	0.46	-0.35	0.41	-1.07	0.64
IL1B	0.82	0.84	0.59	0.8	-2.12	0.91
IL1F10	-0.26	0.52	-0.29	0.48	-1.22	0.69
IL1R1	0.57	0.76	-0.72	0.14	-1.87	0.86
IL1R2	0.69	0.8	0.45	0.75	-2.77	0.97
IL1RAP	0.76	0.82	0.52	0.77	-0.31	0.37
IL1RAPL1	-0.6	0.2	-0.65	0.17	1.27	0.06
IL1RAPL2	-0.53	0.25	0.46	0.75	1.54	0.04
IL1RL1	0.58	0.77	0.34	0.71	-1.95	0.88
IL1RL2	-0.84	0.1	-0.91	0.08	-2.31	0.93
IL1RN	-0.32	0.46	-0.35	0.41	-1.97	0.88
IL2	0.95	0.88	0.74	0.84	-0.99	0.62
IL20	-0.22	0.57	-0.24	0.52	-0.7	0.51
IL20RA	-0.57	0.22	-0.62	0.19	-1.48	0.77
IL20RB	-0.38	0.39	-0.42	0.35	-1.31	0.72
IL21	1.09	0.9	-0.16	0.6	0.45	0.17
IL21R	-0.63	0.18	-0.68	0.16	-2.25	0.92
IL22	-0.3	0.49	-0.32	0.44	-0.48	0.42
IL22RA1	1.66	0.93	0.16	0.67	-1.75	0.84
IL22RA2	-0.26	0.53	-0.28	0.49	-1.34	0.73
IL23A	-0.21	0.58	-0.23	0.54	-0.68	0.5
IL23R	-0.73	0.13	0.26	0.69	-1.02	0.63
IL24	-0.23	0.56	-0.25	0.52	-0.27	0.35
IL25	-0.32	0.46	-0.35	0.41	-0.6	0.47
IL26	1.03	0.9	0.82	0.86	-0.35	0.38
IL27	-0.27	0.51	-0.29	0.47	0.02	0.26
IL27RA	-0.75	0.12	0.23	0.69	-2.42	0.94
IL2RA	-0.41	0.36	0.59	0.8	-1.73	0.84
IL2RB	-0.63	0.18	0.36	0.72	-1.81	0.85
IL2RG	-0.3	0.48	-0.33	0.44	0.49	0.16
IL3	-0.28	0.51	-0.3	0.46	-2.35	0.93
IL31	0.92	0.87	0.7	0.83	-2.29	0.93
IL31RA	1.58	0.93	0.08	0.66	-0.76	0.53
IL32	-0.26	0.52	-0.29	0.48	-1.94	0.88
IL33	0.91	0.87	-0.36	0.41	-0.88	0.57
IL34	-0.41	0.36	0.59	0.8	-0.8	0.55
IL36A	-0.23	0.56	-0.25	0.52	-1.94	0.88
IL36B	-0.19	0.6	-0.21	0.56	-1.13	0.66
IL36G	-0.3	0.48	-0.33	0.44	-1.34	0.73
IL36RN	-0.22	0.57	-0.24	0.53	-1.91	0.87
IL37	-0.32	0.46	-0.35	0.41	-1.24	0.7
IL3RA	-0.75	0.13	-0.81	0.11	-0.97	0.61
IL4	-0.32	0.46	0.69	0.83	-1.73	0.84
IL4I1	-0.58	0.21	-0.63	0.18	-2.11	0.91
IL4R	2.51	0.97	2.88	0.98	-1.93	0.88
IL5	-0.19	0.6	-0.21	0.56	-1.2	0.69
IL5RA	-0.47	0.3	-0.52	0.27	-3.36	0.99
IL6	0.93	0.87	0.71	0.83	-1.53	0.79
IL6R	-0.66	0.16	0.33	0.71	-2.32	0.93
IL6ST	-0.91	0.08	0.06	0.65	-1.14	0.67
IL7	-0.18	0.61	-0.2	0.56	1.37	0.05
